****** TEST SETS *******

************* start test1
0000 AC = R0
0000 X = R1
0000 SP = R2
0000 PC = R3
0000 CVZN = CC
3002 | 0 | Inst #1 : MOVE AC, SP
5642 | 10 | Inst #9 : OR #EEEE, EEEE(SP)
EEEE | 11 | 
000E | 12 | 
5646 | 13 | Inst #10 : OR #EEEE, EEEE(SP)
EEEE | 14 | 
000E | 15 | 
564A | 16 | Inst #11 : OR #EEEE, EEEE(SP)
EEEE | 17 | 
000E | 18 | 
564E | 19 | Inst #12 : OR #EEEE, EEEE(SP)
EEEE | 1A | 
000E | 1B | 
5652 | 1C | Inst #13 : OR #CCCC, 0035
CCCC | 1D | 
0035 | 1E | 
5656 | 1F | Inst #14 : OR #CCCC, 0035
CCCC | 20 | 
0035 | 21 | 
565A | 22 | Inst #15 : OR #CCCC, 0035
CCCC | 23 | 
0035 | 24 | 
565E | 25 | Inst #16 : OR #CCCC, 0035
CCCC | 26 | 
0035 | 27 | 
0000 | 28 | HALT
0000 | 29 | 
0001 | 2A | 
0002 | 2B | 
0003 | 2C | 
0004 | 2D | 
0005 | 2E | 
0006 | 2F | 
0007 | 30 | 
0008 | 31 | 
0009 | 32 | 
000A | 33 | 
000B | 34 | 
000C | 35 | 
000D | 36 | 
000E | 37 | 
000F | 38 | 
************* end testI

************* start testJ
0000 AC = R0
0000 X = R1
0000 SP = R2
0000 PC = R3
0000 CVZN = CC
5013 | 0 | Inst #1 : OR AC, (PC)
5017 | 1 | Inst #2 : OR X, (PC)
501B | 2 | Inst #3 : OR SP, (PC)
501F | 3 | Inst #4 : OR PC, (PC)
5023 | 4 | Inst #5 : OR AC, (PC)+
FFFF | 5 | 
5027 | 6 | Inst #6 : OR X, (PC)+
FFFF | 7 | 
502B | 8 | Inst #7 : OR SP, (PC)+
FFFF | 9 | 
502F | A | Inst #8 : OR PC, (PC)+
FFFF | B | 
5613 | C | Inst #9 : OR #0000, (PC)
0000 | D | 
5617 | E | Inst #10 : OR #0000, (PC)
0000 | F | 
561B | 10 | Inst #11 : OR #0000, (PC)
0000 | 11 | 
561F | 12 | Inst #12 : OR #0000, (PC)
0000 | 13 | 
5623 | 14 | Inst #13 : OR #000E, (PC)+
000E | 15 | 
FFFF | 16 | 
5627 | 17 | Inst #14 : OR #000E, (PC)+
000E | 18 | 
FFFF | 19 | 
562B | 1A | Inst #15 : OR #000E, (PC)+
000E | 1B | 
FFFF | 1C | 
562F | 1D | Inst #16 : OR #000E, (PC)+
000E | 1E | 
FFFF | 1F | 
0000 | 20 | HALT
************* end testJ


************* start testK
0000 AC = R0
0000 X = R1
0000 SP = R2
0000 PC = R3
0000 CVZN = CC
5043 | 0 | Inst #1 : OR AC, 000E(PC)
0000 | 1 | 
5047 | 2 | Inst #2 : OR X, 0000(PC)
0000 | 3 | 
504F | 4 | Inst #3 : OR PC, 0000(PC)
0000 | 5 | 
0029 | 6 | Inst #4 : SC/CC CLEAR C N 
5057 | 7 | Inst #5 : OR X, 0029
0029 | 8 | 
505B | 9 | Inst #6 : OR SP, 0029
0029 | A | 
505F | B | Inst #7 : OR PC, 0029
0029 | C | 
5643 | D | Inst #8 : OR #FFFF, FFFF(PC)
FFFF | E | 
0000 | F | 
5647 | 10 | Inst #9 : OR #FFFF, FFFF(PC)
FFFF | 11 | 
0000 | 12 | 
564B | 13 | Inst #10 : OR #FFFF, FFFF(PC)
FFFF | 14 | 
0000 | 15 | 
564F | 16 | Inst #11 : OR #FFFF, FFFF(PC)
FFFF | 17 | 
0000 | 18 | 
5653 | 19 | Inst #12 : OR #0000, 002A
0000 | 1A | 
002A | 1B | 
5657 | 1C | Inst #13 : OR #0000, 002A
0000 | 1D | 
002A | 1E | 
565B | 1F | Inst #14 : OR #0000, 002A
0000 | 20 | 
002A | 21 | 
565F | 22 | Inst #15 : OR #0000, 002A
0000 | 23 | 
002A | 24 | 
0000 | 25 | HALT
FFFF | 26 | 
FFFF | 27 | 
FFFF | 28 | 
FFFF | 29 | 
************* end testK

************* start testL
0000 AC = R0
0000 X = R1
0000 SP = R2
0000 PC = R3
0000 CVZN = CC
6000 | 0 | Inst #1 : AND AC, AC
6004 | 1 | Inst #2 : AND X, AC
6008 | 2 | Inst #3 : AND SP, AC
600C | 3 | Inst #4 : AND PC, AC
6104 | 4 | Inst #5 : AND (X), AC
6108 | 5 | Inst #6 : AND (SP), AC
610C | 6 | Inst #7 : AND (PC), AC
6204 | 7 | Inst #8 : AND (X)+, AC
6208 | 8 | Inst #9 : AND (SP)+, AC
6304 | 9 | Inst #10 : AND -(X), AC
6308 | A | Inst #11 : AND -(SP), AC
6404 | B | Inst #12 : AND 000E(X), AC
000E | C | 
6408 | D | Inst #13 : AND 000E(SP), AC
000E | E | 
640C | F | Inst #14 : AND 000E(PC), AC
000E | 10 | 
6504 | 11 | Inst #15 : AND 000E, AC
000E | 12 | 
6508 | 13 | Inst #16 : AND 000E, AC
000E | 14 | 
650C | 15 | Inst #17 : AND 000E, AC
000E | 16 | 
6600 | 17 | Inst #18 : AND #000E, AC
000E | 18 | 
6604 | 19 | Inst #19 : AND #000E, AC
000E | 1A | 
6608 | 1B | Inst #20 : AND #000E, AC
000E | 1C | 
660C | 1D | Inst #21 : AND #000E, AC
000E | 1E | 
0000 | 1F | HALT
************* end testL

************* start testM
0017 AC = R0
0019 X = R1
001B SP = R2
0000 PC = R3
6000 CVZN = CC
6001 | 0 | Inst #1 : AND AC, X
6005 | 1 | Inst #2 : AND X, X
6009 | 2 | Inst #3 : AND SP, X
600D | 3 | Inst #4 : AND PC, X
6101 | 4 | Inst #5 : AND (AC), X
6109 | 5 | Inst #6 : AND (SP), X
610D | 6 | Inst #7 : AND (PC), X
6201 | 7 | Inst #8 : AND (AC)+, X
6209 | 8 | Inst #9 : AND (SP)+, X
6301 | 9 | Inst #10 : AND -(AC), X
6309 | A | Inst #11 : AND -(SP), X
6401 | B | Inst #12 : AND 000E(AC), X
000E | C | 
6409 | D | Inst #13 : AND 000E(SP), X
000E | E | 
640D | F | Inst #14 : AND 000E(PC), X
000E | 10 | 
6501 | 11 | Inst #15 : AND 000E, X
000E | 12 | 
6509 | 13 | Inst #16 : AND 000E, X
000E | 14 | 
650D | 15 | Inst #17 : AND 000E, X
000E | 16 | 
6601 | 17 | Inst #18 : AND #000E, X
000E | 18 | 
6605 | 19 | Inst #19 : AND #000E, X
000E | 1A | 
6609 | 1B | Inst #20 : AND #000E, X
000E | 1C | 
660D | 1D | Inst #21 : AND #000E, X
000E | 1E | 
0000 | 1F | HALT
************* end testM

************* start testN
0000 AC = R0
0000 X = R1
0000 SP = R2
0000 PC = R3
0000 CVZN = CC
6002 | 0 | Inst #1 : AND AC, SP
6006 | 1 | Inst #2 : AND X, SP
600A | 2 | Inst #3 : AND SP, SP
600E | 3 | Inst #4 : AND PC, SP
6102 | 4 | Inst #5 : AND (AC), SP
6106 | 5 | Inst #6 : AND (X), SP
610E | 6 | Inst #7 : AND (PC), SP
6202 | 7 | Inst #8 : AND (AC)+, SP
6206 | 8 | Inst #9 : AND (X)+, SP
6302 | 9 | Inst #10 : AND -(AC), SP
6306 | A | Inst #11 : AND -(X), SP
6402 | B | Inst #12 : AND 000E(AC), SP
000E | C | 
6406 | D | Inst #13 : AND 000E(X), SP
000E | E | 
640E | F | Inst #14 : AND 000E(PC), SP
000E | 10 | 
6502 | 11 | Inst #15 : AND 000E, SP
000E | 12 | 
6506 | 13 | Inst #16 : AND 000E, SP
000E | 14 | 
650E | 15 | Inst #17 : AND 000E, SP
000E | 16 | 
6602 | 17 | Inst #18 : AND #000E, SP
000E | 18 | 
6606 | 19 | Inst #19 : AND #000E, SP
000E | 1A | 
660A | 1B | Inst #20 : AND #000E, SP
000E | 1C | 
660E | 1D | Inst #21 : AND #000E, SP
000E | 1E | 
0000 | 1F | HALT
************* end testN

************* start testO
0025 AC = R0
0000 X = R1
0000 SP = R2
0000 PC = R3
0000 CVZN = CC
6010 | 0 | Inst #1 : AND AC, (AC)
6014 | 1 | Inst #2 : AND X, (AC)
601C | 2 | Inst #3 : AND PC, (AC)
6020 | 3 | Inst #4 : AND AC, (AC)+
6024 | 4 | Inst #5 : AND X, (AC)+
6028 | 5 | Inst #6 : AND SP, (AC)+
602C | 6 | Inst #7 : AND PC, (AC)+
6030 | 7 | Inst #8 : AND AC, -(AC)
6034 | 8 | Inst #9 : AND X, -(AC)
6038 | 9 | Inst #10 : AND SP, -(AC)
603C | A | Inst #11 : AND PC, -(AC)
6610 | B | Inst #12 : AND #000E, (AC)
000E | C | 
6614 | D | Inst #13 : AND #000E, (AC)
000E | E | 
6618 | F | Inst #14 : AND #000E, (AC)
000E | 10 | 
661C | 11 | Inst #15 : AND #000E, (AC)
000E | 12 | 
6620 | 13 | Inst #16 : AND #000E, (AC)+
000E | 14 | 
6624 | 15 | Inst #17 : AND #000E, (AC)+
000E | 16 | 
6628 | 17 | Inst #18 : AND #000E, (AC)+
000E | 18 | 
662C | 19 | Inst #19 : AND #000E, (AC)+
000E | 1A | 
6630 | 1B | Inst #20 : AND #000E, -(AC)
000E | 1C | 
6634 | 1D | Inst #21 : AND #000E, -(AC)
000E | 1E | 
6638 | 1F | Inst #22 : AND #000E, -(AC)
000E | 20 | 
663C | 21 | Inst #23 : AND #000E, -(AC)
000E | 22 | 
0000 | 23 | HALT
6111 | 24 | 
FFFF | 25 | 
6111 | 26 | 
FFFF | 27 | 
************* end testO

************* start testP
0029 AC = R0
0011 X = R1
0110 SP = R2
0000 PC = R3
0000 CVZN = CC
6040 | 0 | Inst #1 : AND AC, 000E(AC)
000F | 1 | 
6044 | 2 | Inst #2 : AND X, 000F(AC)
000F | 3 | 
6048 | 4 | Inst #3 : AND SP, 000F(AC)
000F | 5 | 
604C | 6 | Inst #4 : AND PC, 000F(AC)
000F | 7 | 
6050 | 8 | Inst #5 : AND AC, 0035
0035 | 9 | 
6054 | A | Inst #6 : AND X, 0035
0035 | B | 
6058 | C | Inst #7 : AND SP, 0035
0035 | D | 
605C | E | Inst #8 : AND PC, 0035
0035 | F | 
6640 | 10 | Inst #9 : AND #EEEE, EEEE(AC)
EEEE | 11 | 
000E | 12 | 
6644 | 13 | Inst #10 : AND #EEEE, EEEE(AC)
EEEE | 14 | 
000E | 15 | 
6648 | 16 | Inst #11 : AND #EEEE, EEEE(AC)
EEEE | 17 | 
000E | 18 | 
664C | 19 | Inst #12 : AND #EEEE, EEEE(AC)
EEEE | 1A | 
000E | 1B | 
6650 | 1C | Inst #13 : AND #DDDD, 0036
DDDD | 1D | 
0036 | 1E | 
6654 | 1F | Inst #14 : AND #DDDD, 0036
DDDD | 20 | 
0036 | 21 | 
6658 | 22 | Inst #15 : AND #DDDD, 0036
DDDD | 23 | 
0036 | 24 | 
665C | 25 | Inst #16 : AND #DDDD, 0036
DDDD | 26 | 
0036 | 27 | 
0000 | 28 | HALT
0000 | 29 | 
0001 | 2A | 
0002 | 2B | 
0003 | 2C | 
0004 | 2D | 
0005 | 2E | 
0006 | 2F | 
0007 | 30 | 
0008 | 31 | 
0009 | 32 | 
000A | 33 | 
000B | 34 | 
000C | 35 | 
000D | 36 | 
000E | 37 | 
000F | 38 | 
************* end testP

************* start testQ
0000 AC = R0
0025 X = R1
0000 SP = R2
0000 PC = R3
0000 CVZN = CC
6011 | 0 | Inst #1 : AND AC, (X)
6015 | 1 | Inst #2 : AND X, (X)
6019 | 2 | Inst #3 : AND SP, (X)
601D | 3 | Inst #4 : AND PC, (X)
6021 | 4 | Inst #5 : AND AC, (X)+
6025 | 5 | Inst #6 : AND X, (X)+
6029 | 6 | Inst #7 : AND SP, (X)+
602D | 7 | Inst #8 : AND PC, (X)+
6031 | 8 | Inst #9 : AND AC, -(X)
6035 | 9 | Inst #10 : AND X, -(X)
6039 | A | Inst #11 : AND SP, -(X)
603D | B | Inst #12 : AND PC, -(X)
6611 | C | Inst #13 : AND #000E, (X)
000E | D | 
6615 | E | Inst #14 : AND #000E, (X)
000E | F | 
6619 | 10 | Inst #15 : AND #000E, (X)
000E | 11 | 
661D | 12 | Inst #16 : AND #000E, (X)
000E | 13 | 
6621 | 14 | Inst #17 : AND #000E, (X)+
000E | 15 | 
6625 | 16 | Inst #18 : AND #000E, (X)+
000E | 17 | 
6629 | 18 | Inst #19 : AND #000E, (X)+
000E | 19 | 
662D | 1A | Inst #20 : AND #000E, (X)+
000E | 1B | 
6631 | 1C | Inst #21 : AND #000E, -(X)
000E | 1D | 
6635 | 1E | Inst #22 : AND #000E, -(X)
000E | 1F | 
6639 | 20 | Inst #23 : AND #000E, -(X)
000E | 21 | 
663D | 22 | Inst #24 : AND #000E, -(X)
000E | 23 | 
0000 | 24 | HALT
6111 | 25 | 
FFFF | 26 | 
6111 | 27 | 
FFFF | 28 | 
************* end testQ

************* start testR
0000 AC = R0
0029 X = R1
0000 SP = R2
0000 PC = R3
0000 CVZN = CC
6041 | 0 | Inst #1 : AND AC, 000E(X)
000F | 1 | 
6045 | 2 | Inst #2 : AND X, 000F(X)
000F | 3 | 
6049 | 4 | Inst #3 : AND SP, 000F(X)
000F | 5 | 
604D | 6 | Inst #4 : AND PC, 000F(X)
000F | 7 | 
6051 | 8 | Inst #5 : AND AC, 0035
0035 | 9 | 
6055 | A | Inst #6 : AND X, 0035
0035 | B | 
6059 | C | Inst #7 : AND SP, 0035
0035 | D | 
605D | E | Inst #8 : AND PC, 0035
0035 | F | 
6641 | 10 | Inst #9 : AND #EEEE, EEEE(X)
EEEE | 11 | 
000E | 12 | 
6645 | 13 | Inst #10 : AND #EEEE, EEEE(X)
EEEE | 14 | 
000E | 15 | 
6649 | 16 | Inst #11 : AND #EEEE, EEEE(X)
EEEE | 17 | 
000E | 18 | 
664D | 19 | Inst #12 : AND #EEEE, EEEE(X)
EEEE | 1A | 
000E | 1B | 
6651 | 1C | Inst #13 : AND #FFFF, 0038
FFFF | 1D | 
0038 | 1E | 
6655 | 1F | Inst #14 : AND #FFFF, 0038
FFFF | 20 | 
0038 | 21 | 
6659 | 22 | Inst #15 : AND #FFFF, 0038
FFFF | 23 | 
0038 | 24 | 
665D | 25 | Inst #16 : AND #FFFF, 0038
FFFF | 26 | 
0038 | 27 | 
0000 | 28 | HALT
0000 | 29 | 
0001 | 2A | 
0002 | 2B | 
0003 | 2C | 
0004 | 2D | 
0005 | 2E | 
0006 | 2F | 
0007 | 30 | 
0008 | 31 | 
0009 | 32 | 
000A | 33 | 
000B | 34 | 
000C | 35 | 
000D | 36 | 
000E | 37 | 
000F | 38 | 
************* end testR

************* start testS
0000 AC = R0
0000 X = R1
0025 SP = R2
0000 PC = R3
0000 CVZN = CC
6012 | 0 | Inst #1 : AND AC, (SP)
6016 | 1 | Inst #2 : AND X, (SP)
601A | 2 | Inst #3 : AND SP, (SP)
601E | 3 | Inst #4 : AND PC, (SP)
6022 | 4 | Inst #5 : AND AC, (SP)+
6026 | 5 | Inst #6 : AND X, (SP)+
602A | 6 | Inst #7 : AND SP, (SP)+
602E | 7 | Inst #8 : AND PC, (SP)+
6032 | 8 | Inst #9 : AND AC, -(SP)
6036 | 9 | Inst #10 : AND X, -(SP)
603A | A | Inst #11 : AND SP, -(SP)
603E | B | Inst #12 : AND PC, -(SP)
6612 | C | Inst #13 : AND #000E, (SP)
000E | D | 
6616 | E | Inst #14 : AND #000E, (SP)
000E | F | 
661A | 10 | Inst #15 : AND #000E, (SP)
000E | 11 | 
661E | 12 | Inst #16 : AND #000E, (SP)
000E | 13 | 
6622 | 14 | Inst #17 : AND #000E, (SP)+
000E | 15 | 
6626 | 16 | Inst #18 : AND #000E, (SP)+
000E | 17 | 
662A | 18 | Inst #19 : AND #000E, (SP)+
000E | 19 | 
662E | 1A | Inst #20 : AND #000E, (SP)+
000E | 1B | 
6632 | 1C | Inst #21 : AND #000E, -(SP)
000E | 1D | 
6636 | 1E | Inst #22 : AND #000E, -(SP)
000E | 1F | 
663A | 20 | Inst #23 : AND #000E, -(SP)
000E | 21 | 
663E | 22 | Inst #24 : AND #000E, -(SP)
000E | 23 | 
0000 | 24 | HALT
6111 | 25 | 
FFFF | 26 | 
6111 | 27 | 
FFFF | 28 | 
************* end testS

************* start testT
0000 AC = R0
0000 X = R1
0029 SP = R2
0000 PC = R3
0000 CVZN = CC
6042 | 0 | Inst #1 : AND AC, 000E(SP)
000F | 1 | 
6046 | 2 | Inst #2 : AND X, 000F(SP)
000F | 3 | 
604A | 4 | Inst #3 : AND SP, 000F(SP)
000F | 5 | 
604E | 6 | Inst #4 : AND PC, 000F(SP)
000F | 7 | 
6052 | 8 | Inst #5 : AND AC, 000F
000F | 9 | 
6056 | A | Inst #6 : AND X, 000F
000F | B | 
605A | C | Inst #7 : AND SP, 000F
000F | D | 
605E | E | Inst #8 : AND PC, 000F
000F | F | 
6642 | 10 | Inst #9 : AND #EEEE, EEEE(SP)
EEEE | 11 | 
000E | 12 | 
6646 | 13 | Inst #10 : AND #EEEE, EEEE(SP)
EEEE | 14 | 
000E | 15 | 
664A | 16 | Inst #11 : AND #EEEE, EEEE(SP)
EEEE | 17 | 
000E | 18 | 
664E | 19 | Inst #12 : AND #EEEE, EEEE(SP)
EEEE | 1A | 
000E | 1B | 
6652 | 1C | Inst #13 : AND #CCCC, 0035
CCCC | 1D | 
0035 | 1E | 
6656 | 1F | Inst #14 : AND #CCCC, 0035
CCCC | 20 | 
0035 | 21 | 
665A | 22 | Inst #15 : AND #CCCC, 0035
CCCC | 23 | 
0035 | 24 | 
665E | 25 | Inst #16 : AND #CCCC, 0035
CCCC | 26 | 
0035 | 27 | 
0000 | 28 | HALT
0000 | 29 | 
0001 | 2A | 
0002 | 2B | 
0003 | 2C | 
0004 | 2D | 
0005 | 2E | 
0006 | 2F | 
0007 | 30 | 
0008 | 31 | 
0009 | 32 | 
000A | 33 | 
000B | 34 | 
000C | 35 | 
000D | 36 | 
000E | 37 | 
000F | 38 | 
************* end testT

// M(3) Duplicate instruction is intential to avoid 
// AND (PC), PC where PC = 4 and any AND Condition
// would mess with the next instrucitoon. 
************* start testU
FFFF AC = R0
FFFF X = R1
FFFF SP = R2
0000 PC = R3
0000 CVZN = CC
6013 | 0 | Inst #1 : AND AC, (PC)
6017 | 1 | Inst #2 : AND X, (PC)
601B | 2 | Inst #3 : AND SP, (PC)
601B | 3 | Inst #4 : AND SP, (PC)
6023 | 4 | Inst #5 : AND AC, (PC)+
FFFF | 5 | 
6027 | 6 | Inst #6 : AND X, (PC)+
FFFF | 7 | 
602B | 8 | Inst #7 : AND SP, (PC)+
FFFF | 9 | 
602F | A | Inst #8 : AND PC, (PC)+
FFFF | B | 
6613 | C | Inst #9 : AND #FFFF, (PC)
FFFF | D | 
6617 | E | Inst #10 : AND #FFFF, (PC)
FFFF | F | 
661B | 10 | Inst #11 : AND #FFFF, (PC)
FFFF | 11 | 
661F | 12 | Inst #12 : AND #FFFF, (PC)
FFFF | 13| 
6623 | 14 | Inst #13 : AND #000E, (PC)+
000E | 15 | 
FFFF | 16 | 
6627 | 17 | Inst #14 : AND #000E, (PC)+
000E | 18 | 
FFFF | 19 | 
662B | 1A | Inst #15 : AND #000E, (PC)+
000E | 1B | 
FFFF | 1C | 
662F | 1D | Inst #16 : AND #000E, (PC)+
000E | 1E | 
FFFF | 1F | 
0000 | 20 | HALT
************* end testU


************* start testV
0000 AC = R0
0000 X = R1
0000 SP = R2
0000 PC = R3
0000 CVZN = CC
6043 | 0 | Inst #1 : AND AC, 000E(PC)
0000 | 1 | 
6047 | 2 | Inst #2 : AND X, 0000(PC)
0000 | 3 | 
604F | 4 | Inst #3 : AND PC, 0000(PC)
0000 | 5 | 
6053 | 6 | Inst #4 : AND AC, 0029
0029 | 7 | 
6057 | 8 | Inst #5 : AND X, 0029
0029 | 9 | 
605B | A | Inst #6 : AND SP, 0029
0029 | B | 
605F | C | Inst #7 : AND PC, 0029
0029 | D | 
6643 | E | Inst #8 : AND #FFFF, FFFF(PC)
FFFF | F | 
0000 | 10 | 
6647 | 11 | Inst #9 : AND #FFFF, FFFF(PC)
FFFF | 12 | 
0000 | 13 | 
664B | 14 | Inst #10 : AND #FFFF, FFFF(PC)
FFFF | 15 | 
0000 | 16 | 
664F | 17 | Inst #11 : AND #FFFF, FFFF(PC)
FFFF | 18 | 
0000 | 19 | 
6653 | 1A | Inst #12 : AND #0000, 002A
0000 | 1B | 
002A | 1C | 
6657 | 1D | Inst #13 : AND #0000, 002A
0000 | 1E | 
002A | 1F | 
665B | 20 | Inst #14 : AND #0000, 002A
0000 | 21 | 
002A | 22 | 
665F | 23 | Inst #15 : AND #0000, 002A
0000 | 24 | 
002A | 25 | 
0000 | 26 | HALT
FFFF | 27 | 
FFFF | 28 | 
FFFF | 29 | 
FFFF | 2A | 
************* end testV
